date,djia
2007-04-06,0.01666214734081528
2007-04-13,0.004134488304326167
2007-04-20,0.027739168562328498
2007-04-27,0.012263558499550298
2007-05-04,0.01095043495359338
2007-05-11,0.004643932506170456
2007-05-18,0.017282470197850675
2007-05-25,-0.0036329355668448526
2007-06-01,0.0119069124205613
2007-06-08,-0.017831287573775834
2007-06-15,0.016022329506219624
2007-06-22,-0.020471454923501442
2007-06-29,0.0036196900359724005
2007-07-06,0.015143989463494378
2007-07-13,0.021714439363840432
2007-07-20,-0.004038900573441917
2007-07-27,-0.04227901362204256
2007-08-03,-0.00629906064391228
2007-08-10,0.004371900581934041
2007-08-17,-0.012119756426582917
2007-08-24,0.022921336974772055
2007-08-31,-0.0015793561040656767
2007-09-07,-0.018293513723129817
2007-09-14,0.025099554805854796
